adresse,pris,ejerudgift,meter
" Malttorvet 18, st. tv., Brygmester Hus, Carlsberg Byen",4995000,4328,88
" Constantin Hansens Gade 25, 5.  nr. 1, Tuxens Tårn, Carlsberg Byen",4995000,4085,102
" Constantin Hansens Gade 25, 4.  nr. 4, Tuxens Tårn, Carlsberg Byen",4995000,4192,105
" Bag Elefanterne 29, 4. tv., Fristrup Hus, Carlsberg Byen",4995000,3499,77
" Bag Elefanterne 31, 1.  nr. 4, Fristrup Hus, Carlsberg Byen",4995000,4192,96
" Bag Elefanterne 29, 4. th., Fristrup Hus, Carlsberg Byen",4995000,3499,77
" Paulas Passage 3, 9.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5045000,4016,93
" Fadet 3, 2. tv., Carlsberg Byen, Mineralvandshuset",5095000,3779,94
" Bag Elefanterne 31, 2.  nr. 4, Fristrup Hus, Carlsberg Byen",5095000,4217,96
" Bryggernes Plads 20, 5.  nr. 3, Caroline Hus, Carlsberg Byen",5145000,3838,87
" J.C. Jacobsens Gade 15, 4. th., Caroline Hus, Carlsberg Byen",5145000,4010,95
" J.C. Jacobsens Gade 15, 4. tv., Caroline Hus, Carlsberg Byen",5145000,4010,95
" Fadet 3, 4. tv., Carlsberg Byen, Mineralvandshuset",5195000,3812,90
" Bag Elefanterne 31, 3. th., Fristrup Hus, Carlsberg Byen",5195000,4251,96
" Paulas Passage 3, 13.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5245000,4074,93
" Paulas Passage 3, 4.  nr. 2, Dahlerups Tårn, Carlsberg Byen",5245000,3684,80
" Paulas Passage 3, 4.  nr. 5, Dahlerups Tårn, Carlsberg Byen",5245000,3684,80
" Kildepladsen 14, 1.  nr. 4, Djørup Hus, Carlsberg Byen",5250000,4261,95
" Bag Elefanterne 33, 1. th., Fristrup Hus, Carlsberg Byen",5250000,4207,93
" Fadet 3, 5. tv., Carlsberg Byen, Mineralvandshuset",5295000,3426,79
" Bag Elefanterne 31, 4. th., Fristrup Hus, Carlsberg Byen",5295000,4284,96
" J.C. Jacobsens Gade 15, 5. th., Caroline Hus, Carlsberg Byen",5345000,4069,95
" Bryggernes Plads 20, 5.  nr. 4, Caroline Hus, Carlsberg Byen",5345000,4298,101
" J.C. Jacobsens Gade 15, 5. tv., Caroline Hus, Carlsberg Byen",5345000,4069,95
" Kildepladsen 14, 2.  nr. 4, Djørup Hus, Carlsberg Byen",5350000,4286,95
" Bag Elefanterne 33, 2. th., Fristrup Hus, Carlsberg Byen",5350000,4241,93
" Malttorvet 18, 1. tv., Brygmester Hus, Carlsberg Byen",5395000,4823,101
" Paulas Passage 3, 19.  nr. 4, Dahlerups Tårn, Carlsberg Byen",5445000,4141,93
" Paulas Passage 3, 17.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5445000,4141,93
" Bag Elefanterne 33, 3. th., Fristrup Hus, Carlsberg Byen",5450000,4274,93
" Paulas Passage 3, 18.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5495000,4158,93
" J.C. Jacobsens Gade 11, 1. th., Caroline Hus, Carlsberg Byen",5495000,4520,107
" J.C. Jacobsens Gade 11, 1. tv., Caroline Hus, Carlsberg Byen",5495000,4520,107
" Bag Elefanterne 27, 1. th., Fristrup Hus, Carlsberg Byen",5495000,3789,108
" Malttorvet 18, 2. tv., Brygmester Hus, Carlsberg Byen",5495000,4856,101
" Malttorvet 18, 3. tv., Brygmester Hus, Carlsberg Byen",5495000,4301,85
" Bag Elefanterne 39, st. tv., Fristrup Hus, Carlsberg Byen",5495000,4622,104
" Bag Elefanterne 39, st. th., Fristrup Hus, Carlsberg Byen ]",5495000,4471,99
"[ Bag Elefanterne 31, 1.  nr. 3, Fristrup Hus, Carlsberg Byen",5495000,4713,108
" Bag Elefanterne 29, 3. th., Fristrup Hus, Carlsberg Byen",5495000,4049,90
" Bag Elefanterne 29, 3. tv., Fristrup Hus, Carlsberg Byen",5495000,4049,90
" Bag Elefanterne 29, st. tv., Fristrup Hus, Carlsberg Byen",5500000,4471,104
" Paulas Passage 3, 19.  nr. 1, Dahlerups Tårn, Carlsberg Byen",5545000,4166,93
" Bag Elefanterne 33, 4. th., Fristrup Hus, Carlsberg Byen",5550000,4307,93
" Bag Elefanterne 27, 2. th., Fristrup Hus, Carlsberg Byen",5595000,4647,108
" Malttorvet 22, 1. tv., Brygmester Hus, Carlsberg Byen",5595000,5075,100
" Malttorvet 20, st. tv., Brygmester Hus, Carlsberg Byen",5595000,5815,121
" Bag Elefanterne 31, 2.  nr. 3, Fristrup Hus, Carlsberg Byen",5595000,4738,108
" Bag Elefanterne 39, 1. tv., Fristrup Hus, Carlsberg Byen",5595000,4436,97
" Constantin Hansens Gade 37, 2. tv",5595000,3830,99
" J.C. Jacobsens Gade 11, 2. tv., Caroline Hus, Carlsberg Byen",5695000,4579,107
" J.C. Jacobsens Gade 11, 2. th., Caroline Hus, Carlsberg Byen",5695000,4579,107
" Købkes Plads 30, 2. tv",5695000,3908,104
" Bag Elefanterne 39, 2. tv., Fristrup Hus, Carlsberg Byen",5695000,4470,97
" Constantin Hansens Gade 25, 7.  nr. 1, Tuxens Tårn, Carlsberg Byen",5695000,4302,102
" Johanne Møllers Passage 9, 1. th., Caroline Hus, Carlsberg Byen",5745000,4440,102
" Johanne Møllers Passage 9, 1. tv., Caroline Hus, Carlsberg Byen",5745000,4440,102
" Johanne Møllers Passage 7, st. th., Caroline Hus, Carlsberg Byen",5745000,4297,97
" Johanne Møllers Passage 7, 1. tv., Caroline Hus, Carlsberg Byen",5745000,4440,102
" Johanne Møllers Passage 9, st. th., Caroline Hus, Carlsberg Byen",5745000,4469,103
" Johanne Møllers Passage 7, st. tv., Caroline Hus, Carlsberg Byen",5745000,4813,115
" Johanne Møllers Passage 9, st. tv., Caroline Hus, Carlsberg Byen",5745000,4526,105
" Johanne Møllers Passage 7, 1. th., Caroline Hus, Carlsberg Byen",5745000,4440,102
" Bag Elefanterne 39, 1. th., Fristrup Hus, Carlsberg Byen",5745000,4939,112
" Gamle Carlsberg Vej 9, 2. th., Brygmester Hus, Carlsberg Byen",5795000,4948,97
" Malttorvet 22, 2. tv., Brygmester Hus, Carlsberg Byen",5795000,5133,101
" Constantin Hansens Gade 25, 4.  nr. 2, Tuxens Tårn, Carlsberg Byen",5795000,3763,83
" Vesterfælledvej 62B, 4. 2",5795000,4628,106
" Bag Elefanterne 39, 3. tv., Fristrup Hus, Carlsberg Byen",5795000,4503,97
" Bag Elefanterne 39, 2. th., Fristrup Hus, Carlsberg Byen",5845000,4972,112
" J.C. Jacobsens Gade 11, 3. th., Caroline Hus, Carlsberg Byen",5895000,4645,107
" J.C. Jacobsens Gade 11, 3. tv., Caroline Hus, Carlsberg Byen",5895000,4645,107
" Gamle Carlsberg Vej 9, 3. th., Brygmester Hus, Carlsberg Byen",5895000,4982,97
" Bag Elefanterne 39, 3. th., Fristrup Hus, Carlsberg Byen",5945000,4997,112
" Bag Elefanterne 37, 1. mf., Fristrup Hus, Carlsberg Byen",5995000,4742,104
" Bag Elefanterne 25, st. tv., Fristrup Hus, Carlsberg Byen",5995000,4712,101
" Bag Elefanterne 35, 1. tv., Fristrup Hus, Carlsberg Byen",5995000,4863,106
" Malttorvet 22, 3. tv., Brygmester Hus, Carlsberg Byen",5995000,4452,83
" Malttorvet 20, 1. tv., Brygmester Hus, Carlsberg Byen",5995000,5562,114
" Malttorvet 20, 3., Brygmester Hus, Carlsberg Byen",5995000,5007,97
" Bag Elefanterne 33, 1. tv., Fristrup Hus, Carlsberg Byen",5995000,4923,109
" Johanne Møllers Passage 9, 2. th., Caroline Hus, Carlsberg Byen",6095000,4548,102
" J.C. Jacobsens Gade 11, 4. th., Caroline Hus, Carlsberg Byen",6095000,4704,107
" J.C. Jacobsens Gade 11, 4. tv., Caroline Hus, Carlsberg Byen",6095000,4704,107
" Johanne Møllers Passage 7, 2. th., Caroline Hus, Carlsberg Byen",6095000,4548,102
" Johanne Møllers Passage 7, 2. tv., Caroline Hus, Carlsberg Byen",6095000,4548,102
" Johanne Møllers Passage 9, 2. tv., Caroline Hus, Carlsberg Byen",6095000,4548,102
" Bag Elefanterne 35, 2. th., Fristrup Hus, Carlsberg Byen ]",6095000,4896,106
"[ Bag Elefanterne 33, 2. tv., Fristrup Hus, Carlsberg Byen",6095000,4957,109
" Malttorvet 20, 2. tv., Brygmester Hus, Carlsberg Byen",6195000,5628,114
" Malttorvet 18, 4. tv., Brygmester Hus, Carlsberg Byen",6195000,4703,91
 Thorvald Bindesbølls Plads 22  st. th.,6195000,4983,115
" Bag Elefanterne 33, 3. tv., Fristrup Hus, Carlsberg Byen",6195000,4973,109
" Bag Elefanterne 35, 5. th., Fristrup Hus, Carlsberg Byen",6250000,4826,102
" Bag Elefanterne 37, st. th., Fristrup Hus, Carlsberg Byen",6250000,5549,128
" Fadet 19, 2. th., Carlsberg Byen, Mineralvandshuset",6295000,4429,112
" Fadet 5, 2. th., Carlsberg Byen, Mineralvandshuset",6295000,4566,107
" Bag Elefanterne 37, 1. tv., Fristrup Hus, Carlsberg Byen",6350000,5523,126
" Fadet 5, 1. th., Carlsberg Byen, Mineralvandshuset",6395000,5139,122
" Malttorvet 22, 1. mf., Brygmester Hus, Carlsberg Byen",6395000,6427,130
" Johanne Møllers Passage 7, 3. tv., Caroline Hus, Carlsberg Byen",6445000,4657,102
" Johanne Møllers Passage 7, 3. th., Caroline Hus, Carlsberg Byen",6445000,4657,102
" Johanne Møllers Passage 9, 3. tv., Caroline Hus, Carlsberg Byen",6445000,4657,102
" Johanne Møllers Passage 9, 3. th., Caroline Hus, Carlsberg Byen",6445000,4657,102
" Bag Elefanterne 37, 2. tv., Fristrup Hus, Carlsberg Byen",6450000,5548,126
" Fadet 5, 2. mf., Carlsberg Byen, Mineralvandshuset",6495000,5172,123
" Bag Elefanterne 35, st. tv., Fristrup Hus, Carlsberg Byen",6495000,5263,114
" Bag Elefanterne 37, 1. th., Fristrup Hus, Carlsberg Byen",6495000,5263,116
" Gamle Carlsberg Vej 7, 2. th., Brygmester Hus, Carlsberg Byen",6495000,6090,123
" Bag Elefanterne 37, 3. tv., Fristrup Hus, Carlsberg Byen",6550000,5581,126
" Bohrsgade 2, 17.  nr. 1, Bohrs Tårn, Carlsberg Byen",6595000,5245,139
" Johanne Møllers Passage 13, 1. th., Caroline Hus, Carlsberg Byen",6595000,5309,124
" Malttorvet 22, 2. mf., Brygmester Hus, Carlsberg Byen",6595000,6494,131
" Bag Elefanterne 37, 2. th., Fristrup Hus, Carlsberg Byen",6595000,5296,116
" Fadet 5, 4. mf., Carlsberg Byen, Mineralvandshuset",6695000,5102,119
" Johanne Møllers Passage 9, 4. th., Caroline Hus, Carlsberg Byen",6795000,4766,102
" Johanne Møllers Passage 7, 4. th., Caroline Hus, Carlsberg Byen",6795000,4766,102
" Johanne Møllers Passage 9, 4. tv., Caroline Hus, Carlsberg Byen",6795000,4766,102
" Johanne Møllers Passage 7, 4. tv., Caroline Hus, Carlsberg Byen",6795000,4766,102
" Paulas Passage 3, 13.  nr. 2, Dahlerups Tårn, Carlsberg Byen",6895000,5462,122
" Bohrsgade 2, 19.  nr. 1, Bohrs Tårn, Carlsberg Byen",6995000,5245,139
" Fadet 5, 5. tv., Carlsberg Byen, Mineralvandshuset",6995000,4783,107
" Bag Elefanterne 31, 1.  nr. 1, Fristrup Hus, Carlsberg Byen",6995000,6055,137
" Bag Elefanterne 33, st., Fristrup Hus, Carlsberg Byen",6995000,5813,128
" Bag Elefanterne 31, 2.  nr. 1, Fristrup Hus, Carlsberg Byen",7095000,5255,137
" Johanne Møllers Passage 13, 3. th., Caroline Hus, Carlsberg Byen",7145000,5484,124
" Fadet 5, 5. th., Carlsberg Byen, Mineralvandshuset",7245000,4721,98
" Paulas Passage 3, 17.  nr. 2, Dahlerups Tårn, Carlsberg Byen",7295000,5587,122
" Johanne Møllers Passage 13, 3. mf., Caroline Hus, Carlsberg Byen",7345000,6202,147
" Bag Elefanterne 31, 3. mf., Fristrup Hus, Carlsberg Byen",7350000,5832,126
" Bag Elefanterne 31, 3. tv., Fristrup Hus, Carlsberg Byen",7350000,6043,133
" Bohrsgade 2, 16.  nr. 4, Bohrs Tårn, Carlsberg Byen",7395000,6517,169
" Paulas Passage 3, 18.  nr. 2, Dahlerups Tårn, Carlsberg Byen",7395000,5620,122
" Fadet 19, 5., Carlsberg Byen, Mineralvandshuset",7495000,4933,115
" Paulas Passage 3, 19.  nr. 3, Dahlerups Tårn, Carlsberg Byen",7495000,5654,122
" Paulas Passage 3, 19.  nr. 2, Dahlerups Tårn, Carlsberg Byen",7495000,5654,122
" Johanne Møllers Passage 13, 4. th., Caroline Hus, Carlsberg Byen",7495000,5593,124
" Bohrsgade 2, 13.  nr. 2 ]",7495000,6266,156
"[ Constantin Hansens Gade 25, 4.  nr. 1, Tuxens Tårn, Carlsberg Byen",7495000,4952,105
" Bohrsgade 2, 17.  nr. 4, Bohrs Tårn, Carlsberg Byen",7595000,6517,169
" Paulas Passage 3, 23.  nr. 2, Dahlerups Tårn, Carlsberg Byen",7995000,5804,122
" Bag Elefanterne 31, 4. tv., Fristrup Hus, Carlsberg Byen",7995000,6243,133
" Bohrsgade 2, 22.  nr. 2, Bohrs Tårn, Carlsberg Byen",8495000,6266,162
" Bag Elefanterne 25, 4., Fristrup Hus, Carlsberg Byen",8995000,7519,144
" Constantin Hansens Gade 25, 13.  nr. 3, Tuxens Tårn, Carlsberg Byen",8995000,5975,105
" Bohrsgade 2, 24. 3.",9395000,7377,185
" Constantin Hansens Gade 21, 5., Fristrup Hus, Carlsberg Byen",9495000,7874,141
" Constantin Hansens Gade 25, 13.  nr. 4, Tuxens Tårn, Carlsberg Byen",10495000,8119,130
" J.C. Jacobsens Gade 11, 5. tv., Caroline Hus, Carlsberg Byen",11000000,9432,157
" Bohrsgade 2, 28.  nr. 4, Bohrs Tårn, Carlsberg Byen",11995000,6517,169
" Bohrsgade 2, 29.  nr. 2, Bohrs Tårn, Carlsberg Byen",13995000,6266,162
 Vesterbrogade 192  5. 23.,2695000,2332,65
" Vesterbrogade 192, 1. 1",3795000,3481,83
" Vesterbrogade 186, st. mf",3795000,2856,83
" Vesterbrogade 171, 5. th.",4795000,3650,96
" Vesterbrogade 198, 5. tv.",7195000,2833,150
" Vesterbrogade 194, 2.",7795000,5076,180
" Rahbeks Alle 20, 3. th.",5495000,4682,109
" Rahbeks Alle 32, 4. tv",10495000,5285,188
" Halls Alle 12, 2. tv.",4495000,3497,86
" Frydendalsvej 27A, 1. th.",12495000,4089,225
" Platanvej 7, 3. 12",2895000,2411,53
" Platanvej 18, st. 4",3495000,3662,77
" Platanvej 18, 1.  nr. 6",3850000,3528,79
" Platanvej 6, 2. Dør/lejl. 4",5175000,4220,105
" Kochsvej 11, 4. th",5000000,2508,88
" Carit Etlars Vej 22, 1 mf",3195000,3464,67
" Carit Etlars Vej 6B, st.",4750000,3466,78
" Carl Bernhards Vej 13B, 2.  nr. 32",2395000,2161,51
" Carl Bernhards Vej 13C, 4. 70",2495000,2256,51
" Frederiksberg Alle 41, 2. 207.",3195000,2136,53
" Frederiksberg Alle 41, 2. 209.",3195000,2136,53
" Frederiksberg Alle 41, 2. 208.",3195000,2136,53
" Frederiksberg Alle 41, 2. 210.",3295000,2295,57
" Frederiksberg Alle 41, 3. 303.",3345000,2136,53
" Frederiksberg Alle 41, 3. 304.",3395000,2295,57
" Frederiksberg Alle 41, 4. 410.",3495000,2295,57
" Frederiksberg Alle 41, 5. 504.",3595000,2299,57
" Frederiksberg Alle 47, 4. tv",4195000,4141,80
" Frederiksberg Alle 41, 2. 204.",6895000,4286,107
" Frederiksberg Alle 41, 2. 205.",6995000,4400,110
" Frederiksberg Alle 41, 2. 202.",6995000,4588,115
" Frederiksberg Alle 41, 2. 203.",7195000,4362,109
" Frederiksberg Alle 41, 2. 201.",7295000,5409,137
" Frederiksberg Alle 37, 1. th.",8995000,4129,146
" Frederiksberg Alle 26, st., Sankt Thomas Plads",10495000,12841,271
" Frederiksberg Alle 41, 4. 404.",11495000,6847,125
" Sankt Thomas Alle 14, 2. tv ]",5495000,4005,92
"[ Rosenørns Alle 66, 1.",6495000,3488,132
" Jakob Dannefærds Vej 8, st. th",3845000,3801,77
" Jakob Dannefærds Vej 2, st.. tv.",4145000,3655,105
 Jakob Dannefærds Vej 6B  ST. TH.,4795000,3352,88
" Holger Danskes Vej 30, 1. 12",1750000,1647,34
" Nordre Fasanvej 112, 4 tv",1995000,2025,48
 Ane Katrines Vej 14 2 2,1995000,1717,51
" Roskildevej 53, st. 6",1999000,2633,65
" Finsensvej 47B, 1. 106.",2098000,2426,59
 C.F. Richs Vej 134 2 TV,2195000,2810,57
" H. Schneekloths Vej 31, 3. 4",2195000,2214,55
" C.F. Richs Vej 126, st. tv",2198000,3014,56
" Finsensvej 34, 2. Dør/lejl. 1",2295000,2052,58
" Folkvarsvej 30, 1. tv.",2295000,2122,46
" Eversvej 11, 4. mf.",2295000,2747,52
 C.F. Richs Vej 85  2. TV.,2395000,2910,60
" Bernhard Bangs Alle 4, 4. 71.",2395000,2223,63
" Allegade 23A, st.. th.",2395000,2325,48
" Bernhard Bangs Alle 2, 2., 45",2495000,2335,63
" Borups Alle 113, 1. k.",2595000,3593,74
" Roskildevej 96, 4. th.",2695000,3229,85
 Munkensvej 5  ST. TH.,2695000,2631,64
" Mariendalsvej 26, 5. tv.",2695000,3010,65
" Nordre Fasanvej 60, 3.  nr. 31",2745000,2839,62
" Rådmand Steins Alle 13, st. tv",2750000,3805,89
 Peter Bangs Vej 116  ST. TH.,2795000,5357,94
" Roskildevej 120, 02 TH",2795000,3075,89
 Nordre Fasanvej 60  4. 43.,2795000,2662,61
" Nordre Fasanvej 178, st. th",2795000,3556,80
" C.F. Richs Vej 85, 3. th",2825000,3858,73
" Rådmand Steins Alle 23, 3. th",2845000,4121,81
" Fuglebakkevej 92, st.. 2.",2875000,3793,75
 Munkensvej 3  3. TV.,2895000,2702,65
 Seedorffs Vænge 2 2 1,2895000,2769,80
" Mariendalsvej 10, 1. tv.",2898000,3292,66
" Finsensvej 5C, 5. mf",2995000,2828,66
" Bispeengen 15, 4 th",2995000,2579,77
" H. Schneekloths Vej 11, 5. tv.",2995000,2464,62
" Holger Danskes Vej 42, 4. 31.",3050000,1870,74
" Pile Alle 35, 4. tv.",3095000,2561,60
 Howitzvej 41  2. TV.,3095000,2158,62
" Finsensvej 81, 1. th.",3195000,3062,79
" Finsensvej 5C, 4. th",3195000,2994,70
" Finsensvej 73, 3. tv",3199000,3063,79
" Frøbels Alle 3, 4. th.",3250000,3407,109
" Duevej 52, 4. tv.",3295000,3361,76
" Munkensvej 11, 1. th.",3345000,2279,78
" Rådmand Steins Alle 9, 04 TV",3345000,3200,100
" Duevej 118, st. tv",3395000,2502,62
" Duevej 48, 4. th ]",3395000,2581,76
"[ Nordre Fasanvej 37B, 1. tv.",3495000,2282,71
" Mariendalsvej 12A, 4. tv",3495000,5037,91
" A. D. Jørgensens Vej 79, 1 th",3495000,4288,88
" Yrsavej 9, st.. th.",3495000,3433,67
" Finsensvej 5C, st. th",3495000,3835,103
" Aksel Møllers Have 24, st. tv",3495000,2891,81
" C.F. Richs Vej 138, st. tv",3495000,5079,102
" Bentzonsvej 50B, st. tv.",3495000,2363,67
" Duevej 60, 2. th",3495000,3352,76
" Bernhard Bangs Alle 11, 3. th",3495000,4500,88
" Vagtelvej 63, 5. tv.",3595000,4308,88
" Finsensvej 11A, st.. tv.",3595000,3629,101
" Godthåbsvænget 37, 4. tv",3595000,5173,91
" Grøndalsvej 10, 2. tv.",3595000,3502,87
" Godthåbsvænget 9, 3. th",3599000,4000,101
" Lollandsvej 38, st. tv",3648000,2581,74
" Godthåbsvej 35, 4. mf., Aksel Møllers Have",3650000,3586,81
" P. Andersens Vej 1, 1. th.",3695000,2631,75
" Godthåbsvej 123, st. th",3695000,3128,91
" Pile Alle 35, 3. tv",3700000,2956,67
" Godthåbsvej 129, st. tv",3745000,3130,92
" Holger Danskes Vej 102, 3.  nr. 1",3795000,3137,86
" Mariendalsvej 65, 1. tv.",3795000,2553,82
" Camilla Nielsens Vej 1, 04 TV",3795000,3943,125
 Guldborgvej 37  4. TH.,3795000,2836,76
" Kong Georgs Vej 54, 4. tv.",3798000,2438,75
" Falkoner Alle 126, st. tv",3850000,3317,97
" Holger Danskes Vej 102, 4. 4",3895000,3095,86
" Finsensvej 5B, st. tv",3898000,3472,96
" Preben Kaas Vænge 2, st.",3995000,3554,93
" Kronprinsesse Sofies Vej 17, 4. th.",3995000,3702,77
" Rådmand Steins Alle 11, 6. tv",3995000,3643,91
" Moltkesvej 57, 2. tv",3995000,4076,81
 A.D. Jørgensens Vej 21  2. 3.,4195000,4725,102
" Kong Georgs Vej 6A, 3. tv",4250000,3224,86
" Pile Alle 5B, st.. tv.",4295000,4745,97
" Pile Alle 5B, st.. th.",4295000,5222,104
 Nordre Fasanvej 80  1. TV.,4295000,5554,102
" Flintholm Alle 24, st. tv.",4295000,3761,96
" Solvej 7, 1. th",4295000,3202,81
" Nimbusparken 1, 4. Dør/lejl. 4",4349000,3788,81
" Kronprinsesse Sofies Vej 17, 3. th.",4395000,3576,94
" Langelandsvej 51, st. th, + kælder",4495000,3711,68
" Lindevangs Alle 15B, 1. th.",4495000,4908,122
" Duevej 52, 5.",4495000,3064,93
" Mariendalsvej 50H, 2. th",4495000,4391,93
" Howitzvej 15, 2. 12.",4500000,3709,97
" Vagtelvej 49, 4. th",4595000,4749,107
" H.V. Nyholms Vej 2, 4.  nr. 2",4650000,4712,105
" Nordre Fasanvej 33B, st.. th. ]",4695000,3398,104
"[ Århusgade 105, 1. th",2275000,2104,50
" Nygårdsvej 41D, st. tv.",2295000,2981,58
" Rønnegade 12, st. tv.",2395000,3025,69
" Korsørgade 4, 4. Dør/lejl. 3",2395000,1908,44
" Holsteinsgade 66, 3. 5.",2398000,2626,56
" Østbanegade 165, 05 TV",2445000,1886,56
" Lange-Müllers Gade 21, 3. tv",2450000,2246,57
" Hjørringgade 13, 1. tv",2450000,2345,48
" Fiskedamsgade 20, st. th",2450000,2716,53
" Marthagade 2, st. th",2595000,2452,66
 Østbanegade 39  ST. 3.,2595000,3012,60
" Østbanegade 35, 2. 1.",2595000,2419,56
" Ålborggade 25, st.",2600000,3467,79
" Herninggade 23, 1. th",2645000,2607,59
" Kildevældsgade 66, 3. tv.",2650000,2061,58
" Holsteinsgade 58, st.. tv..",2695000,2131,59
" Marthagade 8, 3. tv",2695000,2612,61
" Nyborggade 16, 5. th.",2695000,2062,51
" Østerbrogade 216, st. th",2695000,2905,64
" Sankt Kjelds Gade 25, 1. tv.",2695000,2545,58
" Sankt Kjelds Plads 4, 1. th.",2695000,2265,63
" Jagtvej 215B, 5. 3",2695000,3859,65
" Korsørgade 44, st.. tv.",2750000,2960,62
" Drejøgade 28, 6. 604.",2795000,3055,69
" Gammel Kalkbrænderi Vej 30, 2. th.",2795000,2797,56
 Ålborggade 26  ST. TV.,2795000,3526,56
" Marstalsgade 21, 4. th.",2875000,2514,54
" Herninggade 13, 5. th.",2895000,2716,64
" Trikotageparken 2, 1. th., lejl. 10",2899000,2346,71
" Silkeborggade 45, mezz. th.",2975000,2962,69
" Nordre Frihavnsgade 24, 3. 1",2995000,3160,68
" Jellingegade 5, st.. tv.",2995000,2539,63
" Strandboulevarden 60, st..",2995000,1864,69
" Fiskedamsgade 27B, 2. tv.",2995000,2038,56
 Strandvejen 65B  3. TV.,2995000,2542,61
 Silkeborggade 35  3. TV.,2995000,2629,49
" Lyngbyvej 32B, 1. th.",2998000,4142,93
" Trikotageparken 23, 3. mf.",2999000,2405,71
" Sankt Kjelds Plads 10, 2. tv.",3095000,2671,75
" Rønnegade 20, 1. mf",3095000,3322,84
" Langøgade 15, 1. th",3095000,2989,64
" Trikotageparken 28, 4. mf.",3099000,2465,71
" Trikotageparken 22, 3. th.",3099000,2465,71
" Marstalsgade 29, st. th",3099000,2634,69
" Rønnegade 16, 3. th",3175000,3680,84
 Webersgade 15  ST. TV.,3195000,2962,62
" Amerika Plads 24F, st.",3195000,2151,50
" Løgstørgade 28, 1. tv.",3198000,3072,66
" Strandboulevarden 119, 3. th",3199000,2823,68
" Marstalsgade 44, 5. tv ]",3245000,2713,58
"[ Strandvejen 75A, 1. th",3250000,3807,86
" Fåborggade 1, 2. th",3295000,3068,87
" Vennemindevej 51, st.. tv.",3295000,2381,86
" Jagtvej 215B, 3. Dør/lejl. 4",3350000,3164,86
" Drejøgade 26E, 5. 505.",3350000,3002,64
" Løgstørgade 37, 4. th",3395000,2563,63
" Trondhjemsgade 3, kl. th",3395000,3336,129
" Carl Nielsens Allé 6, mezz. tv.",3395000,3105,70
" Korsørgade 40, 2. th.",3395000,3046,66
" Svendborggade 14, 5. th",3475000,2821,71
" Silkeborggade 21, 1. th.",3495000,3477,75
" Århusgade 84, st. th",3495000,2964,88
" Kildevældsgade 79A, st. th.",3495000,4531,70
" Amerika Plads 32B, 2. 4.",3495000,2675,69
" Silkeborggade 47, 3. tv",3495000,2980,69
" Korsørgade 8, 1. Dør/lejl. 1",3495000,3788,82
" Nygårdsvej 41B, 2. th",3495000,5195,80
" Nygårdsvej 57, 2. tv.",3498000,3402,70
" Lyngbyvej 72, 3. tv",3595000,4119,123
