adresse,pris,ejerudgift,meter
" Trikotageparken 1, 2. mf., lejl. 14",3599000,2905,87
" Nordre Frihavnsgade 79, st. th.",3648000,3298,80
" Strandvejen 69, 1.",3695000,3521,93
" Trikotageparken 3, st. th.",3699000,2974,87
" Trikotageparken 21, 3. tv",3699000,2969,86
" Lyngbyvej 70, 5. th.",3795000,3495,119
" Kildevældsgade 83B, 1. th.",3795000,5635,85
" Korsørgade 8, 3. 1",3795000,3393,82
" Århusgade 95, 1. tv.",3798000,3944,82
" Trikotageparken 26, 4. tv.",3799000,3024,86
" Kastelsvej 4, 1. th",3875000,2838,75
" Landskronagade 63, 3. tv",3875000,2995,76
" Dampfærgevej 22, st.",3895000,25161,65
" Ourøgade 33, 5.",3895000,3364,78
" Marstalsgade 8, 2. th.",3895000,2792,74
" Randersgade 17, 4. th",3995000,3119,78
" Midtermolen 2, 3. mf",3995000,4426,75
" Webersgade 19, 2. th",3995000,2463,71
" Løgstørgade 34, 3. tv",3995000,2734,76
" Vordingborggade 76, 1. tv",4095000,3650,87
" Tåsingegade 47, 4. mf.",4098000,3439,87
" Livjægergade 31, 1. th.",4100000,2934,82
" Præstøgade 16, 4. th",4100000,2827,71
" Kalkbrænderihavnsgade 4D, 4. mf",4150000,3041,80
" Svendborggade 14, 2. tv",4195000,2847,80
" Svendborggade 14, 4. th.",4195000,3461,80
" Øster Farimagsgade 79, st.. th.",4198000,2278,92
" Løgstørgade 14, 1. th",4295000,4566,83
" Midtermolen 8, 4. tv.",4295000,4511,75
" Australiensvej 17, 5. tv.",4325000,4393,92
" Amerika Plads 4, 2. 2 ]",4395000,4094,102
"[ Rosenvængets Hovedvej 46, st.. 1.",4395000,3890,88
" Amerika Plads 3A, 4. tv",4395000,4687,92
" Koldinggade 6, 1. th.",4495000,3422,91
" Trikotageparken 32, 5. th.",4499000,3508,93
" Trikotageparken 29, 5. tv.",4499000,3508,94
" Langøgade 17, st.",4650000,3158,104
" Pakhusvej 6, 1. th",4750000,4779,102
" Midtermolen 18, 2. th.",4750000,7461,97
" Strandvejen 95, 1. tv.",4795000,6436,129
" Rønnegade 24, 3.",4895000,3896,93
" Hornemansgade 1A, 3. th.",4995000,5303,102
" Classensgade 72, st.. tv.",4995000,5057,139
" Nordre Frihavnsgade 57, 2. th",4995000,3620,92
" Nordborggade 11, 5. tv.",4995000,3233,85
" Viborggade 13, st. tv",4995000,2503,90
" Randersgade 2, 4. th",4995000,4204,90
" Trikotageparken 24, 4. tv.",4999000,4091,124
" Strandboulevarden 99, 5. th",5145000,3673,86
" Amerika Plads 25C, st.",5150000,3935,102
 Strandboulevarden 38  1. TV.,5195000,3678,104
" Viborggade 13, 2. tv",5195000,3043,90
" Silkeborggade 36, 5.",5245000,3176,95
" Amerika Plads 36, 4. th",5250000,4857,124
" Willemoesgade 91, mezz. tv.",5250000,4877,105
" Langelinie Allé 25A, st. tv",5250000,5472,117
" Willemoesgade 62, 3. th",5250000,2930,88
" Borgmester Jensens Allé 22, 4. th.",5295000,3325,131
" Amerika Plads 32B, 2. 2",5350000,4429,110
" Amerika Plads 26B, 1. 3",5395000,4500,112
" Amerika Plads 24C, st.",5490000,4669,120
" Amerika Plads 30B, 5. 2",5495000,4101,102
" Pakhusvej 8, 3. tv.",5495000,6363,130
" Strandvejen 20B, 1. th.",5495000,4359,104
" Nordre Frihavnsgade 106, 3. tv.",5498000,4956,129
" Strandboulevarden 114, 5. tv",5595000,4184,134
" Viborggade 69, st.",5695000,4077,121
" Silkeborggade 38, 5.",5745000,3430,104
" Nordre Frihavnsgade 88, st. th.",5750000,3129,170
" Silkeborggade 32, 5.",5845000,3502,108
" Pakhusvej 10, 6. th.",5850000,5894,127
" Amerika Plads 3A, 6. mf",5995000,5794,123
" Dampfærgevej 14, st. 4",5995000,5090,111
" Dampfærgevej 14, st.. 4.",5995000,5090,111
" Indiakaj 3, 1. TV.",5995000,6230,109
" Strandvejen 20C, 1. tv",5995000,4865,129
" Silkeborggade 40, 5.",6150000,3585,110
" Vordingborggade 78, 5.",6250000,3618,111
" Randersgade 2, 4. tv",6250000,4068,113
" Willemoesgade 32A, st.",6295000,5482,119
" Saabyesvej 8, st. th ]",6395000,4466,92
"[ Kirsteinsgade 4, Mezz. th.",6495000,5219,133
" Nøjsomhedsvej 2, 5. tv.",6495000,3624,137
" Bryggervangen 4, 5.",6498000,5987,136
" Faksegade 13, 3. th",6535000,4069,124
" Pakhusvej 10, 12. tv.",6695000,4558,97
" Strandvænget 1, 1. tv.",6794999,5299,143
" Willemoesgade 34, 4. th",6795000,3399,108
" Amerika Plads 23, 1. tv",6995000,5882,154
" Holsteinsgade 27, 1. tv.",6995000,4860,127
" Pakhusvej 10, 10. th",6995000,4853,106
" Holsteinsgade 11, 5.",6995000,5615,178
" Nordre Frihavnsgade 88, 3. tv.",7195000,4486,160
" Dampfærgevej 12, 2. 4",7250000,5481,119
" Holsteinsgade 57, 1. tv",7650000,5407,142
" Dampfærgevej 24B, 3. th",7950000,6472,118
" Langelinie Allé 3, 1.  nr. 3",7995000,8060,151
" Amerika Plads 32B, 5. 3",7995000,5671,140
" Svanevænget 4, 4. tv.",7995000,5336,138
" Nordre Frihavnsgade 88, 1. tv.",8200000,4443,160
" Helgesensgade 1, 2. th.",8250000,5396,148
" Strandvejen 63, 04 TV",8300000,8191,234
" Langelinie Allé 29, 1. mf",8400000,8732,144
" Amerika Plads 26B, 5. 1",8500000,5040,124
" Classensgade 19B, 3. th.",8700000,6982,177
" Stockholmsgade 61, 4. tv., Stockholmsgade 59",8750000,5649,125
" Classensgade 17, 5. th.",8995000,6138,149
" Ryvangs Allé 22A, 1.",8995000,10968,191
" Amerika Plads 3A, 7.",8995000,6336,136
" Øster Farimagsgade 12, 4. tv.",9500000,5548,185
" Østbanegade 5, mezz. th.",9750000,5987,202
" Østerbrogade 54A, 2. th.",9800000,6262,212
" Carl Johans Gade 1, 5. th.",9995000,5554,246
" Østerbrogade 84c, 3. tv",9995000,10885,264
" Strandboulevarden 35, 4. tv.",10495000,5950,211
" Dampfærgevej 24A, 1. tv",10850000,8017,134
" Bergensgade 5, 4.",10995000,5598,181
" Stockholmsgade 59, 4. mf.",10995000,6178,149
" Ribegade 6, 4. th.",11000000,8632,224
" Krausesvej 2, st. + kld",11250000,6592,152
" Sortedam Dossering 65A, 3.",11400000,7616,188
" Stockholmsgade 37, 4. th.",11900000,7202,216
" Rosenvængets Allé 20A, 5. tv.",11950000,4357,132
" Amerika Plads 10, 9.",12500000,8067,191
" Strandpromenaden 59, 1.",13800000,8502,167
" Trondhjemsgade 3, 2. th",14495000,11018,282
" Trondhjemsgade 15, 2.",14850000,9013,242
" Nyborggade 4A, 1.",14995000,5202,341
" Pakhusvej 10, 11.",16500000,10142,189
" Korsørgade 2, 1. 4",2899000,3761,63
" Trikotageparken 19, 3. mf ]",2899000,2295,66
"[ Trikotageparken 30, 5. th",3899000,3088,87
" Randersgade 7, 3. tv",3995000,3631,76
" Randersgade 9, st. tv",4295000,4140,89
" Randersgade 11, st. th",4495000,4040,87
" Randersgade 9, 4. th",4700000,4211,90
" Sundkaj 71, st.. th.",2445000,1837,47
" Sundkaj 105, 1. th.",2795000,2544,49
" Sundkaj 103, 2. tv.",2795000,2544,49
" Sundkaj 105, st.. tv.",2795000,2564,50
" Sundkaj 105, 2. th.",2895000,2545,49
" Sundkaj 105, 1. tv.",2895000,2545,49
" Sundkaj 107, 1. th.",2995000,2544,49
" Sundkaj 107, st.. th.",3195000,3230,62
" Calaisgade 2, st.. th.",3299000,4047,69
" Dunkerquegade 1, 3. mf.",3300000,2403,57
" Sundkaj 75, 3. th.",3595000,2929,70
" Dover Passage 3, 1. th.",3699000,4120,71
" Sundkaj 33, 1. tv",3850000,3127,71
" Sundkaj 91, 3. tv.",3895000,2795,63
" Sundkaj 109, 1. mf.",3995000,3417,64
" Sundkaj 91, st.. tv.",3995000,3373,77
" Dover Passage 3, 1. tv.",3999000,4057,70
" Århusgade 140, 2. th.",4195000,3407,85
" Calaisgade 2, 1. tv.",4699000,5319,89
" Calaisgade 2, 1. th.",4699000,5194,87
" Sundkaj 29, 2. th.",4750000,3906,88
" Sundkaj 101, 1. th.",4795000,4937,92
" Sundkaj 101, 2. th.",4895000,4937,92
" Sundkaj 31, 2. mf. C80., Copenhagen Square",4995000,4647,96
" Dover Passage 1, 1. tv.",4999000,5365,89
" Sundkaj 113, st.. tv.",5195000,4554,85
" Dover Passage 4, 2. tv",5195000,4172,93
" Sundkaj 115, st.. tv.",5295000,4545,85
" Fortkaj 22, 1. th.",5295000,4263,97
" Helsinkigade 23, 2. th.",5450000,4497,99
" Helsinkigade 15, 1. tv.",5499000,7515,109
" Calaisgade 4, 1. tv.",5499000,5930,98
" Dover Passage 1, 1. th.",5599000,6633,105
" Sundkaj 109, 1. tv.",5795000,5109,94
" Sundkaj 109, 1. th.",5795000,5110,94
" Helsinkigade 15, 1. th..",5799000,6157,101
" Helsinkigade 13, 1. tv.",5799000,5930,98
" Sundkaj 109, st.. th.",5895000,5090,94
" Sundkaj 109, st.. tv.",5895000,5090,94
" Sundkaj 69, 3. th.",5895000,5186,106
" Sundkaj 115, st.. th.",5995000,4797,89
" Helsinkigade 13, 1. th.",5999000,6203,101
" Göteborg Plads 8, 1. tv.",6250000,4885,115
" Calaisgade 4, 1. th.",6499000,6095,100
" Helsinkigade 20, 5. 2. ]",6600000,4570,119
"[ Sundkaj 39, 2. tv. A50., Copenhagen Square",6795000,6250,136
" Sundkaj 111, st.. tv.",6795000,6973,115
" Dover Passage 5, 1.",6999000,9003,127
" Sundkaj 111, 1. th.",7295000,8144,126
" Fortkaj 18, 1. tv.",7399000,8017,118
" Helsinkigade 23, 4. tv.",7500000,5840,129
" Calaisgade 4, 5. tv.",7799000,6418,103
" Fortkaj 18, 1. th.",8099000,9912,135
 Sundkaj 13,8295000,14173,205
" Sundkaj 115, 1. tv.",8595000,7368,118
 Fortkaj 20  4. TH.,8695000,5159,116
" Helsinkigade 29, 11. mf.",8995000,3868,116
" Sundkaj 109, 2. tv.",8995000,8249,127
" Sundkaj 67, 4. th.",9995000,7281,159
" Sundkaj 109, 2. th.",9995000,9443,147
" Sundkaj 91, 5. th.",10500000,5941,129
" Helsinkigade 29, 15. th.",23500000,8627,240
" Dagmarsgade 34, 03",1345000,2840,32
" Julius Bloms Gade 1, 5. 6.",1398000,1002,29
" Jagtvej 141, 4. e",1445000,1915,47
" Hamletsgade 8, 3. 112.",1495000,2544,44
" Hamletsgade 8, 3. Dør/lejl. 105",1495000,2399,44
" Rantzausgade 54, 5. tv",1495000,1591,37
" Hamletsgade 8, 2. 87",1575000,2883,44
" Heimdalsgade 42, 4. 50",1595000,2414,51
" Husumgade 1, 1. 5",1595000,1854,46
" Slejpnersgade 6, 1. 3.",1750000,2118,44
" Hamletsgade 24, 2. Dør/lejl. 4",1750000,2076,43
" Krogerupgade 65, st.. tv.",1795000,2112,52
 Krogerupgade 51  1. th.,1795000,2188,53
" Bjelkes Allé 8B, st..",1795000,2591,44
" Hamletsgade 24, 4. 4",1795000,1609,43
" Dagmarsgade 17, 1. 210",1845000,1603,47
" Sandbjerggade 54, 2. th",1895000,2018,44
" Ørholmgade 4, 3. th.",1895000,2001,53
" Hamletsgade 28, ST. TH.",1898000,1905,55
" Julius Bloms Gade 3, 5. 13",1975000,1830,42
" Hamletsgade 4, 4. 199",1995000,3242,58
" Esromgade 10, 5. th.",1999000,1276,45
" Bjelkes Allé 12, 4. 6",2045000,2350,52
" Esromgade 28, st. tv",2095000,1936,50
" Stengade 52A, 4. 4",2099999,1873,43
" Bjelkes Allé 12, 1. 3",2145000,2392,54
" Husumgade 12A, 1.",2195000,2012,45
" Hamletsgade 4, 3. 187.",2198000,3179,66
" Farumgade 1, 3. tv.",2199000,1713,52
" Slejpnersgade 6, 2. 4.",2199000,1878,42
" Fredensborggade 2, 2. th",2248000,1810,56
" Ægirsgade 34, 3. tv",2295000,2262,59
" Dagmarsgade 19, 1. 214. ]",2295000,1940,59
"[ Dagmarsgade 34, 3. 25",2295000,2868,50
" Dagmarsgade 17, 4. 509",2295000,1940,59
" Tagensvej 94B, st..",2299000,3242,73
" Esromgade 10, 1. th",2345000,1602,53
" Esromgade 30, 2. tv",2345000,2226,55
" Fredensborggade 2, 4. th",2395000,1706,56
 Møllegade 24  2. tv.,2395000,1950,54
" Julius Bloms Gade 31, st. th",2395000,2074,53
" Sigynsgade 52, st. th",2395000,2553,61
" Bjelkes Allé 34, 2.  nr. 36",2400000,1593,47
" Fredensborggade 2, 2. tv",2445000,1777,58
" Peter Fabers Gade 38, 3. th.",2450000,4074,44
" Blågårdsgade 26, 1. 5",2495000,1989,57
 Husumgade 1  st. 1.,2495000,3516,60
" Vølundsgade 24, 2. th",2495000,1886,58
" Sankt Hans Gade 22, 1. tv.",2595000,1959,46
" Bjelkes Allé 4, 2. 4",2625000,3153,61
" Tømrergade 7, 2. Dør/lejl. 4",2635000,2525,48
" Tømrergade 7, 2. 1",2645000,2892,49
 Husumgade 1  1. 2.,2650000,4257,62
 Dagmarsgade 28  4. 90.,2690000,3079,59
" Fenrisgade 2, 3. tv.",2699000,2036,62
 Tagensvej 56  5. th.,2895000,2709,58
" Gormsgade 6, 1. 7.",2895000,2359,83
" Allersgade 2, 1. mf.",2895000,3005,70
" Prinsesse Charlottes Gade 5, 4. tv.",2925000,2490,57
" Sorgenfrigade 8E, 1. 4",2995000,2975,80
" Julius Bloms Gade 9, 5. 8",2995000,2467,65
" Bjelkes Allé 34, 3. 41.",2999000,2029,59
" Gormsgade 8, 2. 41",3095000,2746,82
" Poppelgade 9, 4. th",3095000,1871,52
" Sigynsgade 46, 4. tv.",3099000,3525,78
" Nørrebrogade 205, 3. tv",3175000,3021,65
" Kronborggade 20, 1. tv",3195000,2396,65
" Gormsgade 8, 4. 47.",3295000,2509,86
" Allersgade 2, 3. tv.",3450000,3699,79
" Haraldsgade 3, 1. tv",3450000,2666,81
" Blågårdsgade 16B, 1. tv",3495000,3613,72
" Wesselsgade 3, 1. th.",3499000,1855,59
" Baldersgade 39, st.. tv.",3650000,2356,91
" Ahornsgade 1, 1. tv",3695000,3009,75
" Ægirsgade 73, 3. th",3795000,2709,79
" Blegdamsvej 30B, st. th., Fredens Gaard, Bolig 42",3850000,3542,79
" Poppelgade 7, st. th",3995000,3312,80
" Prinsesse Charlottes Gade 5, 1. tv",3995000,2864,72
 Kronborggade 8 3 TV,3995000,2411,81
" Ryesgade 32, 3. th",4075000,3064,78
" Blegdamsvej 30A, st., Fredens Gaard, Bolig 43",4095000,4004,89
" Jagtvej 1, 1. tv.",4195000,3155,104
" Jagtvej 7, 1. tv. ]",4250000,3108,100
[ Gerbrandsvej 6  ST. 2.,1695000,3446,48
" Grækenlandsvej 110, st. tv",1699000,2652,50
" Amagerbrogade 259a, 1. th",1699000,2228,58
 Ålandsgade 30  4. TV.,1745000,3564,42
" Tjørnerækken 3, 4. th",1749000,1730,40
" Kastrupvej 58, st. tv",1750000,1959,46
" Rodosvej 7D, st. tv",1750000,2423,56
" Brigadevej 8, 1. tv",1795000,2733,40
" Amagerbrogade 303, 1. th",1798000,3083,54
" Parmagade 40, 2. tv.",1845000,1647,45
" Holmbladsgade 48, st. th",1850000,1712,48
 Parmagade 38  ST. TV.,1875000,1711,46
" Frankrigshusene 2, 1. TH.",1895000,1564,43
" Eliasgade 4, 2. th",1895000,1803,54
" Amagerbrogade 259A, 2. tv",1895000,2567,58
" Messinavej 12, st.. th.",1895000,1995,43
" Birketinget 16, st. 2",1895000,2566,65
" Syriensvej 26, 2. 3.",1895000,2206,50
" Sverrigsgade 6B, st. tv",1895000,2624,47
" Elbagade 19, st. tv",1899000,2570,58
" Amagerbrogade 263A, 2. th.",1945000,3142,69
" Tycho Brahes Allé 7, st. tv",1945000,1916,50
" Florensvej 10, 1. tv",1945000,2938,52
" Lergravsvej 5, 1. th",1995000,2763,62
" Hedegaardsvej 31, st.. th.",1995000,3412,60
" Caprivej 7, 2. th",1995000,2595,58
" Kirkegårdsvej 8, 01 6",1995000,3277,59
" Georginevej 12, 3. mf",1995000,2431,62
" Øresundsvej 104, 4. tv",1995000,2925,60
" Englandsvej 38D, 2. th",1995000,1992,61
" Tyrolsgade 12, st. tv",1995000,1988,50
" Amagerbrogade 219, 3. tv.",1995000,1894,57
 Georginevej 12  1. mf.,1998000,3101,62
" Tyrolsgade 21, 4. tv",1998000,1814,49
" Bremensgade 14, 1. tv",2075000,2743,61
" Kastrupvej 50, 3. b",2075000,2873,63
" Rumæniensgade 14, 4. th",2075000,2151,58
" Kastrupvej 50K, 1.",2095000,2650,63
" Reberbanegade 35, st.. tv.",2095000,2519,53
" Hessensgade 15, st.. 13.",2095000,3358,62
" Augustagade 5, 5. tv.",2095000,3259,58
" Ungarnsgade 17, 4. tv.",2095000,2434,53
" Kastrupvej 94, 1. tv",2145000,2759,53
" Anders Henriksens Gade 5, st.. tv.",2150000,2271,52
" Ålandsgade 17, st. tv",2150000,1962,49
" Hessensgade 25, 3. th",2170000,1857,56
" Reberbanegade 47, 4. th",2175000,3742,59
 Saltholmsvej 6  st. th.,2185000,2435,64
" Frankrigshusene 18, 2. tv",2195000,2138,56
 Hyacintgården 17  2. 4. ],2195000,3114,61
"[ Dalføret 3, st. tv",2195000,2012,61
" Reberbanegade 13, 4. th.",2195000,2384,50
" Rumæniensgade 14, 2. th.",2195000,2365,58
" Bremensgade 43, st. tv.",2195000,3188,61
" Dalføret 15, st.. th.",2195000,1962,70
" Kastrupvej 62, 2. tv.",2195000,2277,63
" Kirkegårdsvej 8, 2. Dør/lejl. 18",2195000,3312,59
" Sorrentovej 2, 2. tv",2195000,3171,60
 Peder Lykkes Vej 52  1. TV.,2195000,4403,73
" Smålandsgade 8, 1. tv",2195000,2601,58
 Tyrolsgade 14  4. TV.,2195000,2009,54
" Engvej 174, st.. tv.",2195000,2733,57
" Holmbladsgade 107, 3. th.",2195000,2245,55
" Lemnosvej 3A, 2. tv.",2195000,1846,55
" Bremensgade 14, st.. tv.",2195000,2732,61
" Lemnosvej 17, 2. th.",2199000,2449,63
" Englandsvej 44, 1. th.",2230000,1784,59
" Messinavej 12, 2. th.",2249000,2927,59
" Ålandsgade 30, 3. mf",2250000,2410,65
" Ungarnsgade 74, 4. tv.",2275000,2639,58
" Frankrigsgade 25, 1. TV.",2295000,2146,54
" Hallandsgade 6C, 4. th.",2295000,2836,54
" Hveensvej 12, 3. th.",2295000,2588,61
" Englandsvej 47, 1. tv",2295000,2826,67
" Englandsvej 12A, 1. tv.",2295000,3329,69
" Kongelundsvej 67B, 1. th",2295000,2577,69
 Reberbanegade 39  ST. TV.,2295000,2768,53
" Elbagade 71, 5. tv",2295000,1826,49
" Reberbanegade 35, 1. th.",2295000,2519,52
" Reberbanegade 39, 4. tv.",2295000,2373,51
" Reberbanegade 45, 04 TH",2345000,2185,59
" Dalføret 1, 1. tv",2345000,2022,61
" Lysefjordsgade 3, 3. th",2350000,2197,57
" Gyldenlakvej 35, st.. tv.",2385000,2403,67
" Mjøsensgade 13, 2. th.",2395000,2464,62
" Ungarnsgade 6, 4. tv.",2395000,2422,50
" Dalføret 15, 1. th.",2395000,2165,70
" Bremensgade 30, 3. tv",2398000,2695,67
" Holmbladsgade 60, st. th",2398000,4377,60
" Holmbladsgade 94, 3. 33.",2445000,2524,73
" Kastrupvej 77, 1. tv",2445000,2433,62
" Tyrolsgade 19, 2. tv",2495000,2657,65
" Hyacintgården 13, 3. 1",2495000,3004,70
" Kastrupvej 82, st.. tv.",2495000,1972,67
" Gunløgsgade 20, 1. 1",2495000,2164,59
" Parmagade 44, 5. th.",2498000,2479,57
" Amagerbrogade 151, 1. tv",2585000,3815,70
" Richard Mortensens Vej 77, 05",2595000,2201,58
 Richard Mortensens Vej 73  5. 1.,2595000,2257,58
" Gyldenlakvej 35, 3. th. ]",2595000,3898,75
"[ Maltagade 22, 5.",2598000,2730,65
" Richard Mortensens Vej 77, 6. 3",2600000,2317,60
" Oxford Allé 4A, 1.",2600000,1759,66
" Kastrupvej 90, st.. 1.",2650000,2186,66
" Reberbanegade 27, 4. tv",2650000,2203,60
" Palermovej 11, st.. 2.",2650000,1834,69
" Robert Jacobsens Vej 5B, st. tv",2695000,3211,78
" Venedigvej 2, st. th.",2695000,5396,83
" Edvard Thomsens Vej 83, 1. tv.",2695000,2601,70
" Tovværkgade 4, st. th",2695000,3693,63
" Peder Lykkes Vej 52, 1. th",2695000,4726,81
" Edvard Thomsens Vej 5D, 1. 2",2745000,2954,76
" Richard Mortensens Vej 73, 5. 3., Ørestad",2750000,2343,60
" Eliasgade 4, 2. tv",2795000,2590,82
" Jansvej 14, 3.",2795000,2990,82
" Kongelundsvej 99, 2.",2850000,3305,90
" Ved Sønderport 20, 5. th.",2888000,2816,62
" Tovværkgade 4, 3. tv.",2895000,2275,74
" Strandlodsvej 9D, st.",2895000,2970,90
" Holmbladsgade 70A, st. mf.",2895000,3675,80
" Edvard Thomsens Vej 15, st. tv",2895000,3558,83
" Nordlandsgade 6, st.. th.",2895000,3045,73
" Amagerbrogade 219, 2. th",2895000,3395,89
" Edvard Thomsens Vej 69, 1. 2., Ørestad",2920000,3014,90
" Hyacintgården 11, st.  nr. 1",2995000,3041,72
" Thorshavnsgade 22, st. tv",2995000,2232,61
" Æblestien 1, st. th",2995000,2996,58
" Prags Boulevard 52, 2.",2995000,3501,74
" Hannemanns Alle 12U, 6. th",2995000,2894,79
 Ved Sønderport 24 5 TV,2995000,1896,65
" Parmagade 36, 5. tv.",2998000,3135,73
" Frankrigshusene 3, 2. th",3095000,3031,73
" Ved Linden 8, 4. th",3150000,2181,65
" Robert Jacobsens Vej 5A, 7. tv",3175000,3483,86
" Amager Strandvej 58, 1.",3195000,3060,73
" Amager Strandvej 58F, 1.",3195000,3029,72
" Telemarksgade 5, 1.",3195000,2643,85
" Ved Amagerport 8, 2. tv",3195000,2092,69
" Edvard Thomsens Vej 69, st. 2.",3195000,3058,90
" Florensvej 10, 1. th",3195000,4101,78
" Øresundsvej 49, 2. th.",3195000,5352,78
" Grækenlandsvej 23, 5.",3198000,3268,76
" Kvintus Allé 12, 2. 2.",3245000,3354,72
" Robert Jacobsens Vej 62, 7. 4",3250000,4598,112
" Edvard Thomsens Vej 79, 1. th",3250000,3918,97
" Rodosvej 6, 2.",3285000,2435,85
" Richard Mortensens Vej 63, 4. 2., Ørestad",3295000,4021,99
" Amager Strandvej 58, 2.",3295000,3002,70
" Edvard Thomsens Vej 63, 4. 2",3295000,4264,119
" Englandsvej 38A, 5. ]",3295000,2318,78
"[ Doris Lessings Vej 35, 1. th.",3295000,2805,79
" Else Alfelts Vej 12, 1. 1",3299000,3541,84
" Hollænderdybet 30, st.. th.",3299000,2815,77
" Hannemanns Allé 12U, 1. 1",3350000,3441,92
" Sundholmsvej 27, 3. tv",3388000,4781,105
" Islands Brygge 36A, st.. 1., Islands Brygge UDEN BOPÆLSPLIGT",3395000,2755,69
" Amager Strandvej 58, 2. th.",3395000,3159,77
" Ørestads Boulevard 57A, 3. 303",3395000,4793,113
" Uplandsgade 26, 4. tv",3395000,2211,73
" Robert Jacobsens Vej 1B, 8. th",3395000,3420,85
" Ørestads Boulevard 59A, 4. 406",3395000,4326,109
" Robert Jacobsens Vej 80, 3.  nr. 1",3395000,3886,97
" Digevej 66, 1. th",3445000,4538,100
" Amager Strandvej 58F, 3.",3450000,3147,73
" Bredegrund 7, 5. th",3450000,3181,85
" Ørestads Boulevard 59B, 7. Dør/lejl. 715, 715",3450000,4193,106
 Edvard Thomsens Vej 67,3470000,4025,117
" Richard Mortensens Vej 10A, 1. tv",3495000,3978,107
" Øresundsvej 54, st. th",3495000,3848,66
" Øresundsvej 46, 4. tv",3495000,4483,115
" Jens Otto Krags Gade 17, 5. 3.",3495000,3794,76
" Elbagade 71, 5. th",3495000,3049,83
" Amager Strandvej 58F, 4.",3550000,3119,71
" Amager Strandvej 58G, 3. th.",3550000,3273,79
" C.F. Møllers Allé 62, 2. tv",3550000,3526,95
" Ørestads Boulevard 57A, 7. 709., Ørestad",3595000,5022,120
" Robert Jacobsens Vej 76, 1. t1",3595000,4271,106
" Ørestads Boulevard 59A, 9. Dør/lejl. 905, 905",3595000,4195,101
" C.F. Møllers Allé 68, 6. th",3600000,3927,103
" Richard Mortensens Vej 73, 1. t3",3600000,4297,106
" Ørestads Boulevard 59A, 7. Dør/lejl. 702",3600000,4353,108
" Else Alfelts Vej 12, 4. 1",3649000,3670,84
" Amager Strandvej 58G, 4. th.",3650000,3338,80
" Strandlodsvej 25G, st. th",3650000,3347,88
" Kirkegårdsvej 11, 2. th",3650000,4012,93
" Prøvestens Allé 4, 1. tv.",3650000,3956,83
" Sverrigsgade 4B, st.. th.",3695000,2904,80
" Amager Strandvej 58F, 5. th.",3695000,3230,73
" Edvard Thomsens Vej 5A, 04 TV",3695000,4172,105
" Ørestads Boulevard 59A, 9. 904., Ørestad",3695000,4059,102
" Strandlodsvej 9B, st.",3745000,4024,115
" Else Alfelts Vej 12, 5. 1",3749000,3706,84
" Nordre Digevej 54, 1. th",3795000,5113,111
" Amager Strandvej 58G, 5. th.",3795000,3418,81
" Sverrigsgade 4A, st. th.",3795000,3076,83
" Else Alfelts Vej 93, 6. tv., Ørestad",3795000,4275,104
" Sigbrits Allé 5, 3. tv",3795000,4008,91
" Edvard Thomsens Vej 69, 9. 4",3795000,4234,118
" Bardenflethsgade 3, st. tv.",3795000,3223,87
 Richard Mortensens Vej 77 8 P4 ],3795000,4286,106
